address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,listing_time,list_url,date_scraped
1301 Peachtree St #4H,Atlanta,GA,30309,"$2,575,000",3,4,"3,300",,,Condo for sale,2069348136,Play video iconVideo Walkthrough,https://www.zillow.com/homedetails/1301-Peachtree-St-4H-Atlanta-GA-30309/2069348136_zpid/,06-10-2022_18:57:36
48 Booker St NW,Atlanta,GA,30314,"$199,000",2,1,"1,222",33.756107,-84.42065,House for sale,35834462,10 days on Zillow,https://www.zillow.com/homedetails/48-Booker-St-NW-Atlanta-GA-30314/35834462_zpid/,06-10-2022_18:57:36
(undisclosed Address),Atlanta,GA,30315,"$380,000",3,2,960,,,House for sale,65441687,10 days on Zillow,https://www.zillow.com/homedetails/Atlanta-GA-30315/65441687_zpid/,06-10-2022_18:57:36
D5 Plan,,,,"$749,900",2,3,"2,135",33.790936,-84.39744,New construction,2070239442,Open: W: 12:00 PM-5:00 ...,https://www.zillow.com/community/atlantic/2070239442_zpid/,06-10-2022_18:57:36
21 Moreland Ave NE,Atlanta,GA,30316,"$384,900",3,2,"1,426",,,House for sale,2067459624,"Price cut: $10,000 (May 11)",https://www.zillow.com/homedetails/21-Moreland-Ave-NE-Atlanta-GA-30316/2067459624_zpid/,06-10-2022_18:57:36
570 Grant St SW,Atlanta,GA,30315,"$300,000",4,4,"2,840",33.702682,-84.40712,New construction,35891664,10 days on Zillow,https://www.zillow.com/homedetails/570-Grant-St-SW-Atlanta-GA-30315/35891664_zpid/,06-10-2022_18:57:36
288 Logan St SE,Atlanta,GA,30312,"$600,000",3,2,"1,735",33.74474,-84.37819,House for sale,35881804,10 days on Zillow,https://www.zillow.com/homedetails/288-Logan-St-SE-Atlanta-GA-30312/35881804_zpid/,06-10-2022_18:57:36
H Plan,,,,"$924,900",3,3,"2,014",33.790936,-84.39744,New construction,2070239436,Open: W: 12:00 PM-5:00 ...,https://www.zillow.com/community/atlantic/2070239436_zpid/,06-10-2022_18:57:36
4674 Lanark Dr SW,Atlanta,GA,30331,"$315,000",3,2,"1,752",33.712517,-84.540886,House for sale,65450750,12 days on Zillow,https://www.zillow.com/homedetails/4674-Lanark-Dr-SW-Atlanta-GA-30331/65450750_zpid/,06-10-2022_18:57:36
PH-6 Plan,,,788,"$597,900",1,1,"1,007",33.77982,-84.414215,New construction,2075163616,Open: Th: 12:00 PM-5:00...,https://www.zillow.com/community/788-west-midtown/2075163616_zpid/,06-10-2022_18:57:36
