address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
5806 Vasey,Austin,TX,78724,"$449,000",3,2,"1,704",30.25701,-97.57957,Active,https://www.zillow.com/homedetails/5806-Vasey-Austin-TX-78724/70344562_zpid/,06-14-2022_12:28:11,70344562,10 days on Zillow
1182 Oakgrove Ave #A,Austin,TX,78702,"$1,349,900",3,4,"2,889",30.275032,-97.70362,Active,https://www.zillow.com/homedetails/1182-Oakgrove-Ave-A-Austin-TX-78702/2062987050_zpid/,06-14-2022_12:28:11,2062987050,10 days on Zillow
4605 Rockcliff Rd,Austin,TX,78746,"$2,500,000",3,2,"1,344",30.340714,-97.790375,Active,https://www.zillow.com/homedetails/4605-Rockcliff-Rd-Austin-TX-78746/29346492_zpid/,06-14-2022_12:28:11,29346492,10 days on Zillow
2002 Belford Dr,Austin,TX,78757,"$750,000",4,2,"1,561",30.356062,-97.726456,Active,https://www.zillow.com/homedetails/2002-Belford-Dr-Austin-TX-78757/29422433_zpid/,06-14-2022_12:28:11,29422433,10 days on Zillow
1109 Winnie Dr,Austin,TX,78748,"$631,690",5,4,"2,530",30.159765,-97.818596,Active,https://www.zillow.com/homedetails/1109-Winnie-Dr-Austin-TX-78748/331630186_zpid/,06-14-2022_12:28:11,331630186,10 days on Zillow
10208 Cassandra Dr,Austin,TX,78717,"$719,900",4,3,"2,773",30.493292,-97.77176,Active,https://www.zillow.com/homedetails/10208-Cassandra-Dr-Austin-TX-78717/29603389_zpid/,06-14-2022_12:28:11,29603389,"Price cut: $24,100 (Jun 10)"
3708 Whitt Loop,Austin,TX,78749,"$750,000",4,3,"2,587",30.179445,-97.8573,Active,https://www.zillow.com/homedetails/3708-Whitt-Loop-Austin-TX-78749/29510518_zpid/,06-14-2022_12:28:11,29510518,10 days on Zillow
1008 Lakewood Hills Ter,Austin,TX,78732,"$1,995,000",4,4,"4,801",30.356226,-97.9117,Active,https://www.zillow.com/homedetails/1008-Lakewood-Hills-Ter-Austin-TX-78732/70352461_zpid/,06-14-2022_12:28:11,70352461,10 days on Zillow
5107 Lansing Dr,Austin,TX,78745,"$625,000",3,1,"1,252",30.216913,-97.785164,Active,https://www.zillow.com/homedetails/5107-Lansing-Dr-Austin-TX-78745/29482773_zpid/,06-14-2022_12:28:11,29482773,10 days on Zillow
3501 Socorro Trl,Austin,TX,78739,"$750,000",4,3,"2,221",30.163809,-97.863655,Active,https://www.zillow.com/homedetails/3501-Socorro-Trl-Austin-TX-78739/29513667_zpid/,06-14-2022_12:28:11,29513667,10 days on Zillow
11801 Eagles Glen Dr,Austin,TX,78732,"$1,995,000",4,4,"4,110",30.355099,-97.889534,Active,https://www.zillow.com/homedetails/11801-Eagles-Glen-Dr-Austin-TX-78732/69815832_zpid/,06-14-2022_12:28:11,69815832,10 days on Zillow
12505 Palfrey Dr,Austin,TX,78727,"$899,000",4,3,"2,637",30.422718,-97.70641,Active,https://www.zillow.com/homedetails/12505-Palfrey-Dr-Austin-TX-78727/70339555_zpid/,06-14-2022_12:28:11,70339555,10 days on Zillow
7685 Northcross Dr UNIT 109,Austin,TX,78757,"$260,000",1,1,576,30.354708,-97.735306,Active,https://www.zillow.com/homedetails/7685-Northcross-Dr-UNIT-109-Austin-TX-78757/121657913_zpid/,06-14-2022_12:28:11,121657913,10 days on Zillow
10301 Chestnut Ridge Rd,Austin,TX,78726,"$1,200,000",5,4,"3,662",30.433357,-97.81996,Active,https://www.zillow.com/homedetails/10301-Chestnut-Ridge-Rd-Austin-TX-78726/70330630_zpid/,06-14-2022_12:28:11,70330630,11 days on Zillow
10605 Marbury Ct,Austin,TX,78726,"$798,500",5,4,"2,877",30.441124,-97.826256,Active,https://www.zillow.com/homedetails/10605-Marbury-Ct-Austin-TX-78726/29376440_zpid/,06-14-2022_12:28:11,29376440,"Price cut: $39,000 (Jun 5)"
12812 Steeple Chase Dr,Austin,TX,78729,"$550,000",3,3,"1,592",30.44689,-97.76206,Active,https://www.zillow.com/homedetails/12812-Steeple-Chase-Dr-Austin-TX-78729/29547358_zpid/,06-14-2022_12:28:11,29547358,11 days on Zillow
10305 Stubble Quail Cir,Austin,TX,78758,"$570,000",4,2,"1,352",30.379343,-97.70611,Active,https://www.zillow.com/homedetails/10305-Stubble-Quail-Cir-Austin-TX-78758/29432921_zpid/,06-14-2022_12:28:11,29432921,11 days on Zillow
801 N Bluff Dr UNIT 20,Austin,TX,78745,"$729,987",3,3,"1,714",30.192139,-97.77168,Active,https://www.zillow.com/homedetails/801-N-Bluff-Dr-UNIT-20-Austin-TX-78745/305429532_zpid/,06-14-2022_12:28:11,305429532,11 days on Zillow
2504 Lynnbrook Dr,Austin,TX,78748,"$549,900",3,3,"2,190",30.16722,-97.836975,Active,https://www.zillow.com/homedetails/2504-Lynnbrook-Dr-Austin-TX-78748/60138920_zpid/,06-14-2022_12:28:11,60138920,"Price cut: $40,000 (Jun 13)"
5901 Bolm Rd #C,Austin,TX,78721,"$618,500",2,3,"1,388",30.25623,-97.68651,Active,https://www.zillow.com/homedetails/5901-Bolm-Rd-C-Austin-TX-78721/145654729_zpid/,06-14-2022_12:28:11,145654729,"Price cut: $10,000 (Jun 10)"
7128 Bending Oak Rd,Austin,TX,78749,"$899,000",4,3,"3,134",30.228619,-97.87002,Active,https://www.zillow.com/homedetails/7128-Bending-Oak-Rd-Austin-TX-78749/29481292_zpid/,06-14-2022_12:28:11,29481292,"Price cut: $50,000 (Jun 6)"
4726 Twin Valley Dr,Austin,TX,78731,"$1,395,000",3,5,"3,406",30.351372,-97.781746,Active,https://www.zillow.com/homedetails/4726-Twin-Valley-Dr-Austin-TX-78731/29349565_zpid/,06-14-2022_12:28:11,29349565,Play video iconVideo Walkthrough
