address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped
4100A Wyoming Ave,Nashville,TN,37209,"$899,900",4,4,"2,445",36.146,-86.83508,House for sale,https://www.zillow.com/homedetails/4100A-Wyoming-Ave-Nashville-TN-37209/124892736_zpid/,06-23-2022_21:37:39
1212 Laurel St APT 1013,Nashville,TN,37203,"$1,325,000",2,2,"1,172",36.153484,-86.786125,Condo for sale,https://www.zillow.com/homedetails/1212-Laurel-St-APT-1013-Nashville-TN-37203/124894018_zpid/,06-23-2022_21:37:39
1702 15th Ave S #C,Nashville,TN,37212,"$999,000",4,3,"2,396",36.137825,-86.791275,House for sale,https://www.zillow.com/homedetails/1702-15th-Ave-S-C-Nashville-TN-37212/124903619_zpid/,06-23-2022_21:37:39
3312 Harriet Park Dr,Nashville,TN,37211,"$690,000",3,3,"2,466",36.024727,-86.73868,House for sale,https://www.zillow.com/homedetails/3312-Harriet-Park-Dr-Nashville-TN-37211/125934689_zpid/,06-23-2022_21:37:39
611 Hamilton Xing,Antioch,TN,37013,"$335,990",2,3,"1,464",,,New construction,https://www.zillow.com/homedetails/611-Hamilton-Xing-Antioch-TN-37013/2062661860_zpid/,06-23-2022_21:37:39
0 Walker Ln,Nashville,TN,37207,"$879,900",,,,,,Lot / Land for sale,https://www.zillow.com/homedetails/0-Walker-Ln-Nashville-TN-37207/2062661888_zpid/,06-23-2022_21:37:39
605 Hamilton Xing,Antioch,TN,37013,"$335,990",2,3,"1,464",,,New construction,https://www.zillow.com/homedetails/605-Hamilton-Xing-Antioch-TN-37013/2062661889_zpid/,06-23-2022_21:37:39
5007 Ruskin Ave,Nashville,TN,37216,"$360,000",3,1,"1,090",36.23389,-86.71976,House for sale,https://www.zillow.com/homedetails/5007-Ruskin-Ave-Nashville-TN-37216/41074935_zpid/,06-23-2022_21:37:39
3814 Hilltop Ave,Nashville,TN,37216,"$584,000",3,2,"1,754",36.217636,-86.73359,House for sale,https://www.zillow.com/homedetails/3814-Hilltop-Ave-Nashville-TN-37216/41076477_zpid/,06-23-2022_21:37:39
3924 Burrus St,Nashville,TN,37216,"$499,000",3,1,"1,255",36.219166,-86.73103,House for sale,https://www.zillow.com/homedetails/3924-Burrus-St-Nashville-TN-37216/41076592_zpid/,06-23-2022_21:37:39
1317 Cardinal Ave,Nashville,TN,37216,"$445,000",2,1,858,36.21927,-86.71464,House for sale,https://www.zillow.com/homedetails/1317-Cardinal-Ave-Nashville-TN-37216/41076974_zpid/,06-23-2022_21:37:39
535 Menees Ln,Madison,TN,37115,"$1,280,000",4,5,"4,154",36.218296,-86.662254,House for sale,https://www.zillow.com/homedetails/535-Menees-Ln-Madison-TN-37115/41078050_zpid/,06-23-2022_21:37:39
418 Hunters Pl,Hermitage,TN,37076,"$335,000",2,2,"1,883",36.221184,-86.59707,Condo for sale,https://www.zillow.com/homedetails/418-Hunters-Pl-Hermitage-TN-37076/41079891_zpid/,06-23-2022_21:37:39
2004 Rivercliff Dr,Nashville,TN,37218,"$1,500,000",5,4,"3,897",36.191223,-86.82913,House for sale,https://www.zillow.com/homedetails/2004-Rivercliff-Dr-Nashville-TN-37218/41082460_zpid/,06-23-2022_21:37:39
1307 Greenfield Ave,Nashville,TN,37216,"$799,900",4,3,"2,002",36.209927,-86.72444,House for sale,https://www.zillow.com/homedetails/1307-Greenfield-Ave-Nashville-TN-37216/41085581_zpid/,06-23-2022_21:37:39
1934 Valley Park Dr,Nashville,TN,37216,"$374,900",2,1,"1,100",36.196316,-86.70968,House for sale,https://www.zillow.com/homedetails/1934-Valley-Park-Dr-Nashville-TN-37216/41090928_zpid/,06-23-2022_21:37:39
401 Leisure Ln,Antioch,TN,37013,"$229,900",3,2,"1,481",36.04232,-86.67171,Townhouse for sale,https://www.zillow.com/homedetails/401-Leisure-Ln-Antioch-TN-37013/41199443_zpid/,06-23-2022_21:37:39
9418 Highway 100,Nashville,TN,37221,"$499,900",3,2,"1,696",36.01701,-87.033005,House for sale,https://www.zillow.com/homedetails/9418-Highway-100-Nashville-TN-37221/41200787_zpid/,06-23-2022_21:37:39
509 Danville Point,Brentwood,TN,37027,"$769,900",4,3,"2,968",36.037952,-86.75893,House for sale,https://www.zillow.com/homedetails/509-Danville-Point-Brentwood-TN-37027/41201548_zpid/,06-23-2022_21:37:39
913 S Woodstone Ln,Nashville,TN,37211,"$515,000",3,2,"1,947",36.03395,-86.72573,House for sale,https://www.zillow.com/homedetails/913-S-Woodstone-Ln-Nashville-TN-37211/41202445_zpid/,06-23-2022_21:37:39
2877 Call Hill Rd,Nashville,TN,37211,"$439,900",3,2,"1,513",36.018066,-86.72311,House for sale,https://www.zillow.com/homedetails/2877-Call-Hill-Rd-Nashville-TN-37211/41203786_zpid/,06-23-2022_21:37:39
5020 Singing Hills Dr,Antioch,TN,37013,"$389,900",3,2,"1,858",36.033012,-86.58215,House for sale,https://www.zillow.com/homedetails/5020-Singing-Hills-Dr-Antioch-TN-37013/41205375_zpid/,06-23-2022_21:37:39
1603 Knight Ct,Ridgetop,TN,37073,"$475,000",4,4,"2,086",36.39818,-86.76168,House for sale,https://www.zillow.com/homedetails/1603-Knight-Ct-Ridgetop-TN-37073/42016096_zpid/,06-23-2022_21:37:39
8024 Boone Trce,Nashville,TN,37221,"$535,000",3,2,"2,083",36.087776,-87.01355,House for sale,https://www.zillow.com/homedetails/8024-Boone-Trce-Nashville-TN-37221/54859707_zpid/,06-23-2022_21:37:39
2742 Jones Ave,Nashville,TN,37207,"$400,000",3,1,"1,016",36.21742,-86.75634,House for sale,https://www.zillow.com/homedetails/2742-Jones-Ave-Nashville-TN-37207/55294589_zpid/,06-23-2022_21:37:39
508 Elaine Dr,Nashville,TN,37211,"$539,999",3,2,"1,630",36.082478,-86.74118,Coming soon,https://www.zillow.com/homedetails/508-Elaine-Dr-Nashville-TN-37211/41163524_zpid/,06-23-2022_21:37:39
7812 River Fork Dr,Nashville,TN,37221,"$765,000",4,4,"3,208",36.062508,-86.9756,Coming soon,https://www.zillow.com/homedetails/7812-River-Fork-Dr-Nashville-TN-37221/41168811_zpid/,06-23-2022_21:37:39
2977 Greer Rd,Goodlettsville,TN,37072,"$1,150,000",3,3,"2,642",36.36117,-86.77913,Coming soon,https://www.zillow.com/homedetails/2977-Greer-Rd-Goodlettsville-TN-37072/307238962_zpid/,06-23-2022_21:37:39
323 Huntington Ridge Dr,Nashville,TN,37211,"$320,000",3,2,"1,346",36.050003,-86.727875,Coming soon,https://www.zillow.com/homedetails/323-Huntington-Ridge-Dr-Nashville-TN-37211/41195723_zpid/,06-23-2022_21:37:39
2031 Neelys Bend Rd,Madison,TN,37115,"$1,250,000",4,5,"4,834",36.20688,-86.66077,Coming soon,https://www.zillow.com/homedetails/2031-Neelys-Bend-Rd-Madison-TN-37115/118551975_zpid/,06-23-2022_21:37:39
