address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
2670 SW Tichner Dr,Portland,OR,97205,"$2,275,000",4,4,"5,388",45.523396,-122.70568,Active,https://www.zillow.com/homedetails/2670-SW-Tichner-Dr-Portland-OR-97205/53928096_zpid/,06-23-2022_21:20:34,53928096,3D Homes Icon3D Tour
Ph Biltmore Avenida #A-2A,Portland,OR,97213,"$375,000",4,4,--,,,Condo for sale,https://www.zillow.com/homedetails/Ph-Biltmore-Avenida-A-2A-Portland-OR-97213/2062701438_zpid/,06-23-2022_21:20:34,2062701438,3 days on Zillow
Aspen Plan,,,,"$799,990",4,3,"2,300",45.57203,-122.84187,New construction,https://www.zillow.com/community/bethany-crossing/2062932922_zpid/,06-23-2022_21:20:34,2062932922,Open: Mon:10AM-6PM;Tue:...
420 NW 11th Ave UNIT 912,Portland,OR,97209,"$445,000",1,1,910,45.52592,-122.682076,Active,https://www.zillow.com/homedetails/420-NW-11th-Ave-UNIT-912-Portland-OR-97209/58474902_zpid/,06-23-2022_21:20:34,58474902,Open: Sun. 1-3pm
1336 SE 20th Ave,Portland,OR,97214,"$745,000",2,2,"2,364",45.513046,-122.64529,Active,https://www.zillow.com/homedetails/1336-SE-20th-Ave-Portland-OR-97214/53894064_zpid/,06-23-2022_21:20:34,53894064,Open: Fri. 12-3pm
6124 NE Alberta St,Portland,OR,97218,"$500,000",3,1,"1,076",45.55885,-122.59958,Active,https://www.zillow.com/homedetails/6124-NE-Alberta-St-Portland-OR-97218/53824495_zpid/,06-23-2022_21:20:34,53824495,3 days on Zillow
15598 SE Flavel Ct,Portland,OR,97266,"$722,900",5,3,"3,030",45.4676,-122.5059,Active,https://www.zillow.com/homedetails/15598-SE-Flavel-Ct-Portland-OR-97266/2063071211_zpid/,06-23-2022_21:20:34,2063071211,3 days on Zillow
2643 NE Rocky Butte Rd,Portland,OR,97220,"$490,000",3,3,"2,000",45.54209,-122.56866,Active,https://www.zillow.com/homedetails/2643-NE-Rocky-Butte-Rd-Portland-OR-97220/53945542_zpid/,06-23-2022_21:20:34,53945542,4 days on Zillow
3990 SE Clinton St,Portland,OR,97202,"$929,900",4,4,"2,242",45.503372,-122.62148,Active,https://www.zillow.com/homedetails/3990-SE-Clinton-St-Portland-OR-97202/2062713845_zpid/,06-23-2022_21:20:34,2062713845,Open: Sat. 1-3pm
2021 SW Main St UNIT 14,Portland,OR,97205,"$274,900",1,1,660,45.520386,-122.694496,Active,https://www.zillow.com/homedetails/2021-SW-Main-St-UNIT-14-Portland-OR-97205/53968937_zpid/,06-23-2022_21:20:34,53968937,6 days on Zillow
1625 SW Westwood Ct,Portland,OR,97239,"$995,000",4,2,"3,166",45.482037,-122.69451,Active,https://www.zillow.com/homedetails/1625-SW-Westwood-Ct-Portland-OR-97239/53850132_zpid/,06-23-2022_21:20:34,53850132,6 days on Zillow
17039 SE Kelly St,Portland,OR,97236,"$478,000",3,2,"2,302",45.500065,-122.48698,Active,https://www.zillow.com/homedetails/17039-SE-Kelly-St-Portland-OR-97236/53971006_zpid/,06-23-2022_21:20:34,53971006,"Price cut: $11,900 (Jun 18)"
10241 NW Engleman St,Portland,OR,97229,"$1,025,000",5,3,"3,236",45.53449,-122.78257,Active,https://www.zillow.com/homedetails/10241-NW-Engleman-St-Portland-OR-97229/53913140_zpid/,06-23-2022_21:20:34,53913140,Open: Sat. 12-2pm
1625 NE 55th Ave,Portland,OR,97213,"$634,500",3,2,"2,177",45.534695,-122.60718,Active,https://www.zillow.com/homedetails/1625-NE-55th-Ave-Portland-OR-97213/176558510_zpid/,06-23-2022_21:20:34,176558510,Open: Sun. 1-4pm
6411 SE 87th Ave,Portland,OR,97266,"$425,000",3,1,"1,098",45.4764,-122.57385,Active,https://www.zillow.com/homedetails/6411-SE-87th-Ave-Portland-OR-97266/53817762_zpid/,06-23-2022_21:20:34,53817762,6 days on Zillow
2840 NE Rocky Butte Rd,Portland,OR,97220,"$939,930",4,3,"3,988",45.543415,-122.56818,Active,https://www.zillow.com/homedetails/2840-NE-Rocky-Butte-Rd-Portland-OR-97220/88960355_zpid/,06-23-2022_21:20:34,88960355,6 days on Zillow
2945 NE Argyle St,Portland,OR,97217,"$629,900",3,3,"1,875",45.5764,-122.63515,Active,https://www.zillow.com/homedetails/2945-NE-Argyle-St-Portland-OR-97217/2063345524_zpid/,06-23-2022_21:20:34,2063345524,Open: Sun. 1-3pm
2809 NW Thurman St #3,Portland,OR,97210,"$1,150,000",2,3,"1,991",,,Active,https://www.zillow.com/homedetails/2809-NW-Thurman-St-3-Portland-OR-97210/2070803026_zpid/,06-23-2022_21:20:34,2070803026,6 days on Zillow
1130 NW 12th Ave APT 102,Portland,OR,97209,"$895,000",2,1,"1,710",45.531044,-122.682945,Active,https://www.zillow.com/homedetails/1130-NW-12th-Ave-APT-102-Portland-OR-97209/2062725662_zpid/,06-23-2022_21:20:34,2062725662,6 days on Zillow
2817 NW Thurman St #2,Portland,OR,97210,"$1,350,000",3,3,"2,554",,,Active,https://www.zillow.com/homedetails/2817-NW-Thurman-St-2-Portland-OR-97210/2070803759_zpid/,06-23-2022_21:20:34,2070803759,6 days on Zillow
Monroe Plan,,,,"$639,900",3,3,"2,305",45.4676,-122.5059,New construction,https://www.zillow.com/community/hawthorne-estates/2067362503_zpid/,06-23-2022_21:20:34,2067362503,Open: Mon 11-6 ; Tue 11...
3118 NE 87th Pl,Portland,OR,97220,"$474,900",3,1,"1,226",45.545097,-122.572556,Active,https://www.zillow.com/homedetails/3118-NE-87th-Pl-Portland-OR-97220/53827111_zpid/,06-23-2022_21:20:34,53827111,3D Homes Icon3D Tour
2813 NW Thurman St #1,Portland,OR,97210,"$1,150,000",2,3,"1,783",,,Active,https://www.zillow.com/homedetails/2813-NW-Thurman-St-1-Portland-OR-97210/2070804775_zpid/,06-23-2022_21:20:34,2070804775,6 days on Zillow
