address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id
8540 Piccone Brook Ln,Charlotte,NC,28216,"$449,900",4,3,"2,442",35.34711,-80.87555,Coming soon,https://www.zillow.com/homedetails/8540-Piccone-Brook-Ln-Charlotte-NC-28216/6139321_zpid/,06-23-2022_21:45:40,6139321
Ellison Plan,,,,"$452,990",4,3,"2,697",35.237946,-80.64903,New construction,https://www.zillow.com/community/larkhaven-hills-gallery-series/2077773428_zpid/,06-23-2022_21:45:40,2077773428
9708 Kestral Ridge Dr,Charlotte,NC,28269,"$425,000",3,3,"1,683",35.38684,-80.77671,Coming soon,https://www.zillow.com/homedetails/9708-Kestral-Ridge-Dr-Charlotte-NC-28269/65017982_zpid/,06-23-2022_21:45:40,65017982
4005 Howie Cir,Charlotte,NC,28205,"$189,900",2,1,725,35.251072,-80.78159,House for sale,https://www.zillow.com/homedetails/4005-Howie-Cir-Charlotte-NC-28205/2075489789_zpid/,06-23-2022_21:45:40,2075489789
1609 Bear Mountain Rd,Charlotte,NC,28214,"$376,000",3,3,"1,900",35.308342,-80.9694,House for sale,https://www.zillow.com/homedetails/1609-Bear-Mountain-Rd-Charlotte-NC-28214/6150347_zpid/,06-23-2022_21:45:40,6150347
208 Greengate Ln,Charlotte,NC,28211,"$875,000",4,4,"3,392",35.14815,-80.770065,House for sale,https://www.zillow.com/homedetails/208-Greengate-Ln-Charlotte-NC-28211/6275594_zpid/,06-23-2022_21:45:40,6275594
845 Burnley Rd,Charlotte,NC,28210,"$585,000",3,2,"1,582",35.15788,-80.86753,House for sale,https://www.zillow.com/homedetails/845-Burnley-Rd-Charlotte-NC-28210/6258747_zpid/,06-23-2022_21:45:40,6258747
9006 Scotch Heather Way,Charlotte,NC,28277,"$365,000",3,2,"1,588",35.052464,-80.81945,Townhouse for sale,https://www.zillow.com/homedetails/9006-Scotch-Heather-Way-Charlotte-NC-28277/6313730_zpid/,06-23-2022_21:45:40,6313730
2710 N Davidson St,Charlotte,NC,28205,"$850,000",3,4,"2,659",35.243816,-80.81081,New construction,https://www.zillow.com/homedetails/2710-N-Davidson-St-Charlotte-NC-28205/2064323354_zpid/,06-23-2022_21:45:40,2064323354
12020 Windy Rock Way #906,Charlotte,NC,28273,"$358,000",3,3,"2,099",,,Townhouse for sale,https://www.zillow.com/homedetails/12020-Windy-Rock-Way-906-Charlotte-NC-28273/2062741002_zpid/,06-23-2022_21:45:40,2062741002
Abbey Plan,,,,"$358,999",3,3,"1,634",35.0863,-80.9764,New construction,https://www.zillow.com/community/chateau-towns/2067647512_zpid/,06-23-2022_21:45:40,2067647512
Farmington Plan,,,,"$466,990",4,4,"2,058",35.183945,-80.91695,New construction,https://www.zillow.com/community/city-park-heights-series/2078601952_zpid/,06-23-2022_21:45:40,2078601952
Maple Plan,,,,"$489,990",3,2,"2,242",35.225674,-80.64387,New construction,https://www.zillow.com/community/cresswind-charlotte/2093446087_zpid/,06-23-2022_21:45:40,2093446087
Newport Plan,,,,"$439,990",3,2,"1,835",35.238873,-80.64708,New construction,https://www.zillow.com/community/larkhaven-hills-piedmont-series/2077726529_zpid/,06-23-2022_21:45:40,2077726529
505 E 6th St UNIT 1204,Charlotte,NC,28202,"$649,999",2,2,"1,853",35.22527,-80.83654,Condo for sale,https://www.zillow.com/homedetails/505-E-6th-St-UNIT-1204-Charlotte-NC-28202/69571976_zpid/,06-23-2022_21:45:40,69571976
