address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
3131 NE 7th Ave UNIT 705,Miami,FL,33137,"$1,120,000",2,2,"1,088",25.807314,-80.185486,Condo for sale,306398858,https://www.zillow.com/homedetails/3131-NE-7th-Ave-UNIT-705-Miami-FL-33137/306398858_zpid/,06-10-2022_19:21:10
9400 SW 116th St,Miami,FL,33176,"$4,298,000",6,7,"5,179",25.661715,-80.34684,House for sale,44283507,https://www.zillow.com/homedetails/9400-SW-116th-St-Miami-FL-33176/44283507_zpid/,06-10-2022_19:21:10
801 S Miami Ave UNIT 5506,Miami,FL,33130,"$725,000",1,2,885,25.766138,-80.19291,Condo for sale,306392710,https://www.zillow.com/homedetails/801-S-Miami-Ave-UNIT-5506-Miami-FL-33130/306392710_zpid/,06-10-2022_19:21:10
6326 SW 28th St,Miami,FL,33155,"$950,000",3,3,"1,786",25.744076,-80.29778,House for sale,44187361,https://www.zillow.com/homedetails/6326-SW-28th-St-Miami-FL-33155/44187361_zpid/,06-10-2022_19:21:10
55 SW 9th St APT 1806,Miami,FL,33130,"$850,000",2,2,"1,053",25.765661,-80.19421,Condo for sale,247649674,https://www.zillow.com/homedetails/55-SW-9th-St-APT-1806-Miami-FL-33130/247649674_zpid/,06-10-2022_19:21:10
300 Biscayne Blvd #T2314,Miami,FL,33130,"$687,000",2,2,"1,006",25.771225,-80.18724,Condo for sale,92443182,https://www.zillow.com/homedetails/300-Biscayne-Blvd-T2314-Miami-FL-33130/92443182_zpid/,06-10-2022_19:21:10
495 Brickell Ave APT 2611,Miami,FL,33131,"$1,400,000",2,2,"1,255",25.768295,-80.188446,Condo for sale,92438693,https://www.zillow.com/homedetails/495-Brickell-Ave-APT-2611-Miami-FL-33131/92438693_zpid/,06-10-2022_19:21:10
45 SW 9th St #LPH-4609,Miami,FL,33130,"$1,400,000",3,4,"1,500",25.77323,-80.20936,Condo for sale,2080707280,https://www.zillow.com/homedetails/45-SW-9th-St-LPH-4609-Miami-FL-33130/2080707280_zpid/,06-10-2022_19:21:10
4756 Bay Point Rd,Miami,FL,33137,"$3,600,000",4,4,"2,390",25.8208,-80.18709,House for sale,43830034,https://www.zillow.com/homedetails/4756-Bay-Point-Rd-Miami-FL-33137/43830034_zpid/,06-10-2022_19:21:10
650 NE 32nd St #BH4,Miami,FL,33137,"$4,150,000",4,6,"3,336",25.807014,-80.186264,Townhouse for sale,306397271,https://www.zillow.com/homedetails/650-NE-32nd-St-BH4-Miami-FL-33137/306397271_zpid/,06-10-2022_19:21:10
750 NE 64th St APT B504,Miami,FL,33138,"$579,000",2,1,--,25.834444,-80.18117,Condo for sale,64581483,https://www.zillow.com/homedetails/750-NE-64th-St-APT-B504-Miami-FL-33138/64581483_zpid/,06-10-2022_19:21:10
1200 Brickell Bay Dr APT 2506,Miami,FL,33131,"$555,000",1,1,825,25.761799,-80.19058,Condo for sale,66176099,https://www.zillow.com/homedetails/1200-Brickell-Bay-Dr-APT-2506-Miami-FL-33131/66176099_zpid/,06-10-2022_19:21:10
495 Brickell Ave APT 3903,Miami,FL,33131,"$1,400,000",2,2,"1,518",25.768295,-80.188446,Condo for sale,92445766,https://www.zillow.com/homedetails/495-Brickell-Ave-APT-3903-Miami-FL-33131/92445766_zpid/,06-10-2022_19:21:10
521 NW 56th St,Miami,FL,33127,"$675,000",3,2,990,25.827124,-80.2044,House for sale,43807894,https://www.zillow.com/homedetails/521-NW-56th-St-Miami-FL-33127/43807894_zpid/,06-10-2022_19:21:10
3731 Battersea Rd,Miami,FL,33133,"$1,725,000",2,2,"1,578",25.710293,-80.25369,House for sale,43863917,https://www.zillow.com/homedetails/3731-Battersea-Rd-Miami-FL-33133/43863917_zpid/,06-10-2022_19:21:10
