address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
524 NW 8th Street,Oklahoma City,OK,73102,"$1,125,000",3,3,"3,134",35.475903,-97.52216,House for sale,https://www.zillow.com/homedetails/524-NW-8th-St-Oklahoma-City-OK-73102/246809696_zpid/,06-23-2022_21:41:29,246809696,23 days on Zillow
1325 SW 28th Street,Oklahoma City,OK,73108,"$125,000",2,2,"1,200",35.436565,-97.54026,House for sale,https://www.zillow.com/homedetails/1325-SW-28th-St-Oklahoma-City-OK-73108/21895356_zpid/,06-23-2022_21:41:29,21895356,23 days on Zillow
3229 SW 41st Street,Oklahoma City,OK,73119,"$219,900",4,2,"1,881",35.424133,-97.57375,House for sale,https://www.zillow.com/homedetails/3229-SW-41st-St-Oklahoma-City-OK-73119/21880624_zpid/,06-23-2022_21:41:29,21880624,"Price cut: $5,000 (Jun 16)"
2521 SW 91st Street,Oklahoma City,OK,73159,"$229,900",3,2,"1,693",35.374825,-97.55853,House for sale,https://www.zillow.com/homedetails/2521-SW-91st-St-Oklahoma-City-OK-73159/21754748_zpid/,06-23-2022_21:41:29,21754748,23 days on Zillow
2340 Belleview Drive,Oklahoma City,OK,73112,"$820,000",4,4,"3,975",35.527775,-97.553375,House for sale,https://www.zillow.com/homedetails/2340-Belleview-Dr-Oklahoma-City-OK-73112/21855806_zpid/,06-23-2022_21:41:29,21855806,"Price cut: $40,000 (May 31)"
Shiloh Half Bath Plan,,,,"$393,840",4,3,"2,000",35.41321,-97.70665,New construction,https://www.zillow.com/community/canyons/2070281784_zpid/,06-23-2022_21:41:29,2070281784,3D Homes Icon3D Tour
Mallory Bonus Room Plan,,,,"$460,340",4,3,"2,640",35.41321,-97.70665,New construction,https://www.zillow.com/community/canyons/2070281762_zpid/,06-23-2022_21:41:29,2070281762,24 days on Zillow
Saddie Plan,,,,"$650,000",4,4,"3,400",35.340263,-97.59868,New construction,https://www.zillow.com/community/preserve-at-parkside/2066387116_zpid/,06-23-2022_21:41:29,2066387116,Open: Thursday-Monday f...
9328 SW 23rd Street,Oklahoma City,OK,73128,"$350,000",4,3,"2,529",35.440308,-97.678925,House for sale,https://www.zillow.com/homedetails/9328-SW-23rd-St-Oklahoma-City-OK-73128/69630291_zpid/,06-23-2022_21:41:29,69630291,Open: Sun. 2-4pm
1821 NE 26th Street,Oklahoma City,OK,73111,"$83,000",,,,35.49689,-97.48012,Lot / Land for sale,https://www.zillow.com/homedetails/1821-NE-26th-St-Oklahoma-City-OK-73111/2063089654_zpid/,06-23-2022_21:41:29,2063089654,27 days on Zillow
1632 NW 14th Street,Oklahoma City,OK,73106,"$150,000",2,1,864,35.483456,-97.53818,House for sale,https://www.zillow.com/homedetails/1632-NW-14th-St-Oklahoma-City-OK-73106/21858287_zpid/,06-23-2022_21:41:29,21858287,"Price cut: $30,000 (Jun 1)"
6513 NW 135th Street,Oklahoma City,OK,73142,"$259,000",3,2,"1,790",35.60684,-97.63052,House for sale,https://www.zillow.com/homedetails/6513-NW-135th-St-Oklahoma-City-OK-73142/21939584_zpid/,06-23-2022_21:41:29,21939584,28 days on Zillow
10617 Servon Drive,Oklahoma City,OK,73170,"$569,000",3,3,"3,295",35.362495,-97.545044,House for sale,https://www.zillow.com/homedetails/10617-Servon-Dr-Oklahoma-City-OK-73170/83073715_zpid/,06-23-2022_21:41:29,83073715,28 days on Zillow
2327 NW 10th Street,Oklahoma City,OK,73107,"$180,000",3,1,"1,500",35.478973,-97.55358,House for sale,https://www.zillow.com/homedetails/2327-NW-10th-St-Oklahoma-City-OK-73107/21859444_zpid/,06-23-2022_21:41:29,21859444,28 days on Zillow
4800 Foster Rd LOT 97,Oklahoma City,OK,73129,"$29,000",2,2,960,35.416916,-97.47179,Home for sale,https://www.zillow.com/homedetails/4800-Foster-Rd-LOT-97-Oklahoma-City-OK-73129/2063096297_zpid/,06-23-2022_21:41:29,2063096297,28 days on Zillow
4800 Foster Rd TRAILER 145,Oklahoma City,OK,73129,"$28,900",2,1,728,35.416916,-97.47179,Home for sale,https://www.zillow.com/homedetails/4800-Foster-Rd-TRAILER-145-Oklahoma-City-OK-73129/2063101823_zpid/,06-23-2022_21:41:29,2063101823,28 days on Zillow
3101 Castlerock Road UNIT 119,Oklahoma City,OK,73120,"$595,000",4,4,"3,827",35.607372,-97.57052,House for sale,https://www.zillow.com/homedetails/3101-Castlerock-Rd-UNIT-119-Oklahoma-City-OK-73120/2067370382_zpid/,06-23-2022_21:41:29,2067370382,"Price cut: $4,000 (May 26)"
Madison Plan,,,,"$600,000",4,3,"3,137",35.340263,-97.59868,New construction,https://www.zillow.com/community/preserve-at-parkside/2066389656_zpid/,06-23-2022_21:41:29,2066389656,Open: Thursday-Monday f...
3905 Palmetto Trail,Oklahoma City,OK,73179,"$376,340",4,2,"1,900",35.425636,-97.68781,New construction,https://www.zillow.com/homedetails/3905-Palmetto-Trl-Oklahoma-City-OK-73179/2063163346_zpid/,06-23-2022_21:41:29,2063163346,Open: M: 11:00 AM-6:00 ...
3901 Palmetto Trail,Oklahoma City,OK,73179,"$390,340",4,2,"1,950",35.42585,-97.687675,New construction,https://www.zillow.com/homedetails/3901-Palmetto-Trl-Oklahoma-City-OK-73179/2063163866_zpid/,06-23-2022_21:41:29,2063163866,Open: M: 11:00 AM-6:00 ...
 SE 104th Street,Oklahoma City,OK,73165,"$275,000",,,,35.361538,-97.391396,Lot / Land for sale,https://www.zillow.com/homedetails/SE-104th-St-Oklahoma-City-OK-73165/248162813_zpid/,06-23-2022_21:41:29,248162813,"Price cut: $10,000 (May 24)"
