address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_time
2716 Hanover Cir S UNIT 301,Birmingham,AL,35205,"$629,900",2,2,"2,397",33.504696,-86.78662,Condo for sale,https://www.zillow.com/homedetails/2716-Hanover-Cir-S-UNIT-301-Birmingham-AL-35205/2062696569_zpid/,06-23-2022_21:32:30,3 days on Zillow
6104 Ellington St,Birmingham,AL,35228,"$40,000",2,2,865,33.430977,-86.92847,House for sale,https://www.zillow.com/homedetails/6104-Ellington-St-Birmingham-AL-35228/1037670_zpid/,06-23-2022_21:32:30,3 days on Zillow
3024 Apple Valley Ln,Birmingham,AL,35215,"$155,000",3,3,"1,346",33.665817,-86.69023,House for sale,https://www.zillow.com/homedetails/3024-Apple-Valley-Ln-Birmingham-AL-35215/885819_zpid/,06-23-2022_21:32:30,3 days on Zillow
1359 Bristol Mnr,Birmingham,AL,35242,"$499,999",4,4,"2,940",33.469032,-86.681206,House for sale,https://www.zillow.com/homedetails/1359-Bristol-Mnr-Birmingham-AL-35242/121857682_zpid/,06-23-2022_21:32:30,"Price cut: $24,901 (May 26)"
1504 Hibernian St,Birmingham,AL,35214,"$50,000",4,2,"1,860",33.540955,-86.872536,Foreclosure,https://www.zillow.com/homedetails/1504-Hibernian-St-Birmingham-AL-35214/933839_zpid/,06-23-2022_21:32:30,3 days on Zillow
6508 Court M,Birmingham,AL,35228,"$110,000",3,1,"1,533",33.471516,-86.89637,House for sale,https://www.zillow.com/homedetails/6508-Court-M-Birmingham-AL-35228/1009584_zpid/,06-23-2022_21:32:30,3 days on Zillow
1111 Green Springs Ave S,Birmingham,AL,35205,"$260,000",3,1,"1,210",33.486908,-86.80959,House for sale,https://www.zillow.com/homedetails/1111-Green-Springs-Ave-S-Birmingham-AL-35205/1003411_zpid/,06-23-2022_21:32:30,Open: Sun. 2-4pm
4816 3rd Ave S,Birmingham,AL,35222,"$275,000",3,2,"1,146",33.530415,-86.760216,House for sale,https://www.zillow.com/homedetails/4816-3rd-Ave-S-Birmingham-AL-35222/962283_zpid/,06-23-2022_21:32:30,"Price cut: $5,000 (Jun 16)"
4136 Park Ave SW,Birmingham,AL,35221,"$12,000",3,1,"1,038",33.450233,-86.899994,House for sale,https://www.zillow.com/homedetails/4136-Park-Ave-SW-Birmingham-AL-35221/1010682_zpid/,06-23-2022_21:32:30,7 days on Zillow
3931 Clairmont Ave S APT 1,Birmingham,AL,35222,"$239,900",2,1,"1,236",33.514744,-86.77306,Condo for sale,https://www.zillow.com/homedetails/3931-Clairmont-Ave-S-APT-1-Birmingham-AL-35222/2085938534_zpid/,06-23-2022_21:32:30,7 days on Zillow
1416 Sunshine Dr,Birmingham,AL,35213,"$329,900",3,2,"1,876",33.52097,-86.740906,Coming soon,https://www.zillow.com/homedetails/1416-Sunshine-Dr-Birmingham-AL-35213/961144_zpid/,06-23-2022_21:32:30,7 days on Zillow
225 E Haven Dr,Birmingham,AL,35215,"$177,000",3,2,"1,976",33.62308,-86.67998,House for sale,https://www.zillow.com/homedetails/225-E-Haven-Dr-Birmingham-AL-35215/893014_zpid/,06-23-2022_21:32:30,7 days on Zillow
1733 28th St,Birmingham,AL,35218,"$105,000",3,1,"1,344",33.50088,-86.88631,House for sale,https://www.zillow.com/homedetails/1733-28th-St-Birmingham-AL-35218/994179_zpid/,06-23-2022_21:32:30,7 days on Zillow
4729 Avenue T,Birmingham,AL,35208,"$48,000",3,1,976,33.490902,-86.879135,House for sale,https://www.zillow.com/homedetails/4729-Avenue-T-Birmingham-AL-35208/998358_zpid/,06-23-2022_21:32:30,7 days on Zillow
622 Hoadley Dr W,Birmingham,AL,35213,"$372,000",3,1,938,33.51765,-86.73267,House for sale,https://www.zillow.com/homedetails/622-Hoadley-Dr-W-Birmingham-AL-35213/2062746423_zpid/,06-23-2022_21:32:30,7 days on Zillow
4405 Linpark Dr,Birmingham,AL,35222,"$315,000",3,1,"1,464",33.522278,-86.76668,House for sale,https://www.zillow.com/homedetails/4405-Linpark-Dr-Birmingham-AL-35222/963570_zpid/,06-23-2022_21:32:30,Open: Sun. 2-4pm
5620 5th Ct S,Birmingham,AL,35212,"$299,900",3,1,"1,454",33.53781,-86.74847,House for sale,https://www.zillow.com/homedetails/5620-5th-Ct-S-Birmingham-AL-35212/957088_zpid/,06-23-2022_21:32:30,Open: Sun. 2-4pm
