address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
920 I St NW APT 812,Washington,DC,20001,"$660,000",1,1,635,38.900757,-77.02451,Condo for sale,121340582,https://www.zillow.com/homedetails/920-I-St-NW-APT-812-Washington-DC-20001/121340582_zpid/,06-10-2022_19:45:18
43 Hanover Pl NW #1,Washington,DC,20001,"$549,000",2,2,870,38.908066,-77.01033,Townhouse for sale,123824144,https://www.zillow.com/homedetails/43-Hanover-Pl-NW-1-Washington-DC-20001/123824144_zpid/,06-10-2022_19:45:18
1250 4th St SW APT 401,Washington,DC,20024,"$399,900",1,1,890,38.875458,-77.01737,Condo for sale,2063132983,https://www.zillow.com/homedetails/1250-4th-St-SW-APT-401-Washington-DC-20024/2063132983_zpid/,06-10-2022_19:45:18
4315 Harrison St NW #6,Washington,DC,20015,"$599,000",2,1,735,38.957264,-77.08487,New construction,2063133975,https://www.zillow.com/homedetails/4315-Harrison-St-NW-6-Washington-DC-20015/2063133975_zpid/,06-10-2022_19:45:18
4315 Harrison St NW #8,Washington,DC,20015,"$689,000",1,1,918,38.957264,-77.08487,New construction,2063249307,https://www.zillow.com/homedetails/4315-Harrison-St-NW-8-Washington-DC-20015/2063249307_zpid/,06-10-2022_19:45:18
1601 18th St NW SUITE 2B,Washington,DC,20009,"$500,000",3,1,"1,227",,,Condo for sale,2072830375,https://www.zillow.com/homedetails/1601-18th-St-NW-SUITE-2B-Washington-DC-20009/2072830375_zpid/,06-10-2022_19:45:18
2020 12th St NW PH 10,Washington,DC,20009,"$1,199,000",2,2,"1,502",38.918,-77.02846,Condo for sale,2092227532,https://www.zillow.com/homedetails/2020-12th-St-NW-PH-10-Washington-DC-20009/2092227532_zpid/,06-10-2022_19:45:18
3465 14th St NW APT A,Washington,DC,20010,"$624,900",2,2,"1,100",38.934105,-77.03238,Condo for sale,119083562,https://www.zillow.com/homedetails/3465-14th-St-NW-APT-A-Washington-DC-20010/119083562_zpid/,06-10-2022_19:45:18
1716 3rd St NE #B,Washington,DC,20002,"$879,000",3,2,"1,733",38.913136,-77.002205,New construction,124230568,https://www.zillow.com/homedetails/1716-3rd-St-NE-B-Washington-DC-20002/124230568_zpid/,06-10-2022_19:45:18
2550 17th St NW UNIT 302,Washington,DC,20009,"$299,000",,1,353,38.924488,-77.03936,Condo for sale,126228507,https://www.zillow.com/homedetails/2550-17th-St-NW-UNIT-302-Washington-DC-20009/126228507_zpid/,06-10-2022_19:45:18
215 17th St SE #1,Washington,DC,20003,"$699,000",2,3,"1,234",38.88711,-76.981125,Townhouse for sale,126228572,https://www.zillow.com/homedetails/215-17th-St-SE-1-Washington-DC-20003/126228572_zpid/,06-10-2022_19:45:18
3606 Wright Ter NE,Washington,DC,20018,"$725,000",4,4,"2,273",38.923286,-76.95602,Townhouse for sale,183094086,https://www.zillow.com/homedetails/3606-Wright-Ter-NE-Washington-DC-20018/183094086_zpid/,06-10-2022_19:45:18
5044 Meade St NE,Washington,DC,20019,"$150,000",,,"6,347",38.906456,-76.92773,Lot / Land for sale,183104459,https://www.zillow.com/homedetails/5044-Meade-St-NE-Washington-DC-20019/183104459_zpid/,06-10-2022_19:45:18
5042 Meade St NE,Washington,DC,20019,"$150,000",,,"6,773",38.906467,-76.92793,Lot / Land for sale,183104460,https://www.zillow.com/homedetails/5042-Meade-St-NE-Washington-DC-20019/183104460_zpid/,06-10-2022_19:45:18
210 Varnum St NW #2,Washington,DC,20011,"$489,999",2,2,755,38.94296,-77.01442,Condo for sale,2063144785,https://www.zillow.com/homedetails/210-Varnum-St-NW-2-Washington-DC-20011/2063144785_zpid/,06-10-2022_19:45:18
