address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
Skyland Plan,,,,"$505,990",4,3,"2,270",36.3193,-115.3089,New construction,2063264456,https://www.zillow.com/community/skye-canyon-belterra-ii/2063264456_zpid/,06-10-2022_19:30:32
4721 Mahogany Dr,Las Vegas,NV,89110,"$299,900",3,1,"1,128",36.160236,-115.0714,Townhouse for sale,7038816,https://www.zillow.com/homedetails/4721-Mahogany-Dr-Las-Vegas-NV-89110/7038816_zpid/,06-10-2022_19:30:32
5661 Warm Light St,Las Vegas,NV,89118,"$429,000",4,3,"1,699",36.086838,-115.21521,Townhouse for sale,295539689,https://www.zillow.com/homedetails/5661-Warm-Light-St-Las-Vegas-NV-89118/295539689_zpid/,06-10-2022_19:30:32
3909 Placita Del Rico,Las Vegas,NV,89120,"$874,888",4,4,"3,192",36.083195,-115.08843,House for sale,7073241,https://www.zillow.com/homedetails/3909-Placita-Del-Rico-Las-Vegas-NV-89120/7073241_zpid/,06-10-2022_19:30:32
5805 Mary Way,Las Vegas,NV,89108,"$449,999",4,2,"1,423",36.219246,-115.22152,House for sale,6932793,https://www.zillow.com/homedetails/5805-Mary-Way-Las-Vegas-NV-89108/6932793_zpid/,06-10-2022_19:30:32
1404 Kilamanjaro Ln UNIT 204,Las Vegas,NV,89128,"$219,900",1,1,756,36.186543,-115.26144,Condo for sale,71172768,https://www.zillow.com/homedetails/1404-Kilamanjaro-Ln-UNIT-204-Las-Vegas-NV-89128/71172768_zpid/,06-10-2022_19:30:32
5906 N Eula St,Las Vegas,NV,89149,"$995,900",4,3,"2,528",36.271553,-115.31287,House for sale,337610721,https://www.zillow.com/homedetails/5906-N-Eula-St-Las-Vegas-NV-89149/337610721_zpid/,06-10-2022_19:30:32
1013 Corsica Ln,Las Vegas,NV,89144,"$559,900",3,3,"1,649",36.18377,-115.31828,House for sale,6913496,https://www.zillow.com/homedetails/1013-Corsica-Ln-Las-Vegas-NV-89144/6913496_zpid/,06-10-2022_19:30:32
7321 Tealwood St,Las Vegas,NV,89131,"$469,888",3,3,"1,768",36.29418,-115.263214,House for sale,6892636,https://www.zillow.com/homedetails/7321-Tealwood-St-Las-Vegas-NV-89131/6892636_zpid/,06-10-2022_19:30:32
916 Nevada Sky St,Las Vegas,NV,89128,"$350,000",3,3,"1,320",36.181717,-115.277725,Townhouse for sale,6966053,https://www.zillow.com/homedetails/916-Nevada-Sky-St-Las-Vegas-NV-89128/6966053_zpid/,06-10-2022_19:30:32
