address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
191 Bunker Hill St #302,Charlestown,MA,02129,"$469,000",1,1,567,42.37901,-71.061554,Condo for sale,2063047268,https://www.zillow.com/homedetails/191-Bunker-Hill-St-302-Charlestown-MA-02129/2063047268_zpid/,06-10-2022_19:28:53
1 Bedroom Plan,,,,"$815,700",1,1,654,42.343914,-71.063736,New construction,2080750904,https://www.zillow.com/community/quinn/2080750904_zpid/,06-10-2022_19:28:53
61 Chandler St #1,Boston,MA,02116,"$1,795,500",2,3,"1,456",42.34697,-71.07173,Townhouse for sale,102987880,https://www.zillow.com/homedetails/61-Chandler-St-1-Boston-MA-02116/102987880_zpid/,06-10-2022_19:28:53
566 Commonwealth Ave APT 903,Boston,MA,02215,"$559,000",1,1,820,42.34868,-71.09892,Condo for sale,2113714085,https://www.zillow.com/homedetails/566-Commonwealth-Ave-APT-903-Boston-MA-02215/2113714085_zpid/,06-10-2022_19:28:53
160 Newton St APT 3,Brighton,MA,02135,"$539,000",3,2,"1,053",42.355637,-71.1698,Condo for sale,71496983,https://www.zillow.com/homedetails/160-Newton-St-APT-3-Brighton-MA-02135/71496983_zpid/,06-10-2022_19:28:53
119 Saint Botolph St APT 2,Boston,MA,02115,"$3,165,000",3,4,"2,247",42.344406,-71.08174,Condo for sale,2063057986,https://www.zillow.com/homedetails/119-Saint-Botolph-St-APT-2-Boston-MA-02115/2063057986_zpid/,06-10-2022_19:28:53
277 Border St #202,Boston,MA,02128,"$545,000",1,1,690,,,Condo for sale,2066443282,https://www.zillow.com/homedetails/277-Border-St-202-Boston-MA-02128/2066443282_zpid/,06-10-2022_19:28:53
63 Mount Vernon St APT 1,Boston,MA,02108,"$1,250,000",1,2,"1,654",42.358593,-71.06633,Condo for sale,2121289070,https://www.zillow.com/homedetails/63-Mount-Vernon-St-APT-1-Boston-MA-02108/2121289070_zpid/,06-10-2022_19:28:53
1131 Hyde Park Ave,Hyde Park,MA,02136,"$899,000",7,3,"3,969",42.26083,-71.12322,House for sale,59126642,https://www.zillow.com/homedetails/1131-Hyde-Park-Ave-Hyde-Park-MA-02136/59126642_zpid/,06-10-2022_19:28:53
19 Swan Ave,East Boston,MA,02128,"$1,299,000",5,4,"3,600",42.388554,-70.99717,Multi-family home for sale,59120644,https://www.zillow.com/homedetails/19-Swan-Ave-East-Boston-MA-02128/59120644_zpid/,06-10-2022_19:28:53
214 Market St #502,Boston,MA,02135,"$788,000",1,1,779,42.355164,-71.14937,Condo for sale,333607010,https://www.zillow.com/homedetails/214-Market-St-502-Boston-MA-02135/333607010_zpid/,06-10-2022_19:28:53
18 Hancock St APT 3,Boston,MA,02114,"$1,750,000",2,2,"1,211",42.360474,-71.064255,Townhouse for sale,59180626,https://www.zillow.com/homedetails/18-Hancock-St-APT-3-Boston-MA-02114/59180626_zpid/,06-10-2022_19:28:53
214 Market St #202,Boston,MA,02135,"$878,000",2,2,"1,010",42.355164,-71.14937,Condo for sale,333606985,https://www.zillow.com/homedetails/214-Market-St-202-Boston-MA-02135/333606985_zpid/,06-10-2022_19:28:53
50 Leo M Birmingham Pkwy UNIT 401,Brighton,MA,02135,"$718,000",1,1,710,42.360054,-71.14625,Condo for sale,2063077215,https://www.zillow.com/homedetails/50-Leo-M-Birmingham-Pkwy-UNIT-401-Brighton-MA-02135/2063077215_zpid/,06-10-2022_19:28:53
28 Braemore Rd #B,Boston,MA,02135,"$325,000",1,1,470,42.338535,-71.150826,Condo for sale,2101032270,https://www.zillow.com/homedetails/28-Braemore-Rd-B-Boston-MA-02135/2101032270_zpid/,06-10-2022_19:28:53
36 Mount Hope St,Roslindale,MA,02131,"$799,900",4,3,"1,377",42.28422,-71.11732,House for sale,59141462,https://www.zillow.com/homedetails/36-Mount-Hope-St-Roslindale-MA-02131/59141462_zpid/,06-10-2022_19:28:53
30 Penniman Rd #302,Allston,MA,02134,"$909,000",2,1,935,,,Condo for sale,2065568202,https://www.zillow.com/homedetails/30-Penniman-Rd-302-Allston-MA-02134/2065568202_zpid/,06-10-2022_19:28:53
49 Hobart St #49A,Brighton,MA,02135,"$1,980,000",4,3,"2,476",42.355217,-71.159615,Condo for sale,2063081205,https://www.zillow.com/homedetails/49-Hobart-St-49A-Brighton-MA-02135/2063081205_zpid/,06-10-2022_19:28:53
49 Hobart St #49B,Brighton,MA,02135,"$1,088,000",3,3,"1,487",42.355217,-71.159615,Condo for sale,2063081216,https://www.zillow.com/homedetails/49-Hobart-St-49B-Brighton-MA-02135/2063081216_zpid/,06-10-2022_19:28:53
275 Sumner St #8,East Boston,MA,02128,"$725,000",2,2,"1,215",42.367798,-71.03756,Condo for sale,59119860,https://www.zillow.com/homedetails/275-Sumner-St-8-East-Boston-MA-02128/59119860_zpid/,06-10-2022_19:28:53
10 Narragansett St #2,Dorchester,MA,02122,"$689,000",2,1,965,42.28605,-71.04715,Condo for sale,2063087111,https://www.zillow.com/homedetails/10-Narragansett-St-2-Dorchester-MA-02122/2063087111_zpid/,06-10-2022_19:28:53
10 Narragansett St #1,Dorchester,MA,02122,"$989,000",3,3,"1,500",42.28605,-71.04715,Condo for sale,2063087114,https://www.zillow.com/homedetails/10-Narragansett-St-1-Dorchester-MA-02122/2063087114_zpid/,06-10-2022_19:28:53
164 Boylston St,Jamaica Plain,MA,02130,"$1,600,000",8,6,"3,278",42.315796,-71.102455,Multi-family home for sale,81860154,https://www.zillow.com/homedetails/164-Boylston-St-Jamaica-Plain-MA-02130/81860154_zpid/,06-10-2022_19:28:53
99 Fulton St APT 1-3,Boston,MA,02109,"$1,190,500",1,2,"1,225",42.362087,-71.05318,Condo for sale,59177695,https://www.zillow.com/homedetails/99-Fulton-St-APT-1-3-Boston-MA-02109/59177695_zpid/,06-10-2022_19:28:53
133 Seaport Blvd #1510,Boston,MA,02210,"$1,450,000",1,2,779,42.351147,-71.04449,Condo for sale,333606086,https://www.zillow.com/homedetails/133-Seaport-Blvd-1510-Boston-MA-02210/333606086_zpid/,06-10-2022_19:28:53
241 Perkins St UNIT C605,Jamaica Plain,MA,02130,"$1,300,000",2,2,"2,047",42.32173,-71.122246,Condo for sale,2072248913,https://www.zillow.com/homedetails/241-Perkins-St-UNIT-C605-Jamaica-Plain-MA-02130/2072248913_zpid/,06-10-2022_19:28:53
134 Dana Ave,Hyde Park,MA,02136,"$795,000",4,3,"1,893",42.24878,-71.12076,House for sale,59127829,https://www.zillow.com/homedetails/134-Dana-Ave-Hyde-Park-MA-02136/59127829_zpid/,06-10-2022_19:28:53
4873 Washington St APT 2,West Roxbury,MA,02132,"$514,800",2,2,"1,070",42.270363,-71.147385,Condo for sale,59153200,https://www.zillow.com/homedetails/4873-Washington-St-APT-2-West-Roxbury-MA-02132/59153200_zpid/,06-10-2022_19:28:53
139 Maple St,West Roxbury,MA,02132,"$769,000",3,1,"1,275",42.291252,-71.15698,House for sale,59155380,https://www.zillow.com/homedetails/139-Maple-St-West-Roxbury-MA-02132/59155380_zpid/,06-10-2022_19:28:53
14 Murray Ct #1,Boston,MA,02128,"$795,000",2,2,"1,025",42.367603,-71.03765,Condo for sale,2080644418,https://www.zillow.com/homedetails/14-Murray-Ct-1-Boston-MA-02128/2080644418_zpid/,06-10-2022_19:28:53
4 Battery Wharf #4510,Boston,MA,02109,"$2,195,000",2,2,"1,571",,,Condo for sale,2108845768,https://www.zillow.com/homedetails/4-Battery-Wharf-4510-Boston-MA-02109/2108845768_zpid/,06-10-2022_19:28:53
1 Charles St S UNIT 1510,Boston,MA,02116,"$1,595,000",2,2,"1,179",42.35642,-71.069435,Condo for sale,2063629892,https://www.zillow.com/homedetails/1-Charles-St-S-UNIT-1510-Boston-MA-02116/2063629892_zpid/,06-10-2022_19:28:53
117 Wren St,West Roxbury,MA,02132,"$1,050,000",5,3,"2,444",42.279617,-71.14989,House for sale,59156659,https://www.zillow.com/homedetails/117-Wren-St-West-Roxbury-MA-02132/59156659_zpid/,06-10-2022_19:28:53
23 Cheverus Rd #3,Dorchester,MA,02124,"$569,000",2,2,"1,141",42.292152,-71.063515,Condo for sale,87797449,https://www.zillow.com/homedetails/23-Cheverus-Rd-3-Dorchester-MA-02124/87797449_zpid/,06-10-2022_19:28:53
128 Beacon St UNIT K,Boston,MA,02116,"$6,499,000",3,3,"2,927",42.35517,-71.07469,Townhouse for sale,2066628016,https://www.zillow.com/homedetails/128-Beacon-St-UNIT-K-Boston-MA-02116/2066628016_zpid/,06-10-2022_19:28:53
108-110 George St,Roxbury,MA,02119,"$2,100,000",1,6,"5,238",42.325172,-71.071815,Multi-family home for sale,2063220160,https://www.zillow.com/homedetails/108-110-George-St-Roxbury-MA-02119/2063220160_zpid/,06-10-2022_19:28:53
25 Temple St APT 1,Boston,MA,02114,"$1,890,000",2,2,"1,630",42.360485,-71.06388,Townhouse for sale,59180542,https://www.zillow.com/homedetails/25-Temple-St-APT-1-Boston-MA-02114/59180542_zpid/,06-10-2022_19:28:53
166 Marlborough St APT 1,Boston,MA,02116,"$4,395,000",4,4,"2,925",42.352463,-71.079216,Condo for sale,190072453,https://www.zillow.com/homedetails/166-Marlborough-St-APT-1-Boston-MA-02116/190072453_zpid/,06-10-2022_19:28:53
1710 Dorchester Ave #304,Dorchester Center,MA,02124,"$499,000",1,1,745,42.292423,-71.06244,Condo for sale,2063220633,https://www.zillow.com/homedetails/1710-Dorchester-Ave-304-Dorchester-Center-MA-02124/2063220633_zpid/,06-10-2022_19:28:53
