address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
4101 Maggie St #5,Houston,TX,77051,"$350,000",3,4,"1,780",29.66238,-95.36776,New construction,https://www.zillow.com/homedetails/4101-Maggie-St-5-Houston-TX-77051/2062675685_zpid/,06-23-2022_21:17:09,2062675685,1 day on Zillow
4101 Maggie St #8,Houston,TX,77051,"$350,000",3,4,"1,780",29.66238,-95.36776,New construction,https://www.zillow.com/homedetails/4101-Maggie-St-8-Houston-TX-77051/2062675771_zpid/,06-23-2022_21:17:09,2062675771,1 day on Zillow
14406 Carolina Hollow Ln,Houston,TX,77044,"$425,000",4,4,"3,330",29.926102,-95.17001,House for sale,https://www.zillow.com/homedetails/14406-Carolina-Hollow-Ln-Houston-TX-77044/84051722_zpid/,06-23-2022_21:17:09,84051722,Open: Sat. 12-3pm
4701 Chrystell Ln,Houston,TX,77092,"$289,900",3,1,983,29.838207,-95.46016,House for sale,https://www.zillow.com/homedetails/4701-Chrystell-Ln-Houston-TX-77092/27978785_zpid/,06-23-2022_21:17:09,27978785,1 day on Zillow
6107 Rustic Creek Ln,Kingwood,TX,77345,"$669,000",5,5,"4,438",30.052565,-95.14542,House for sale,https://www.zillow.com/homedetails/6107-Rustic-Creek-Ln-Kingwood-TX-77345/84017783_zpid/,06-23-2022_21:17:09,84017783,"Price cut: $30,000 (Jun 22)"
10226 Spring Cypress Rd,Houston,TX,77070,"$3,250,000",,-,--,30.013103,-95.57696,House for sale,https://www.zillow.com/homedetails/10226-Spring-Cypress-Rd-Houston-TX-77070/2062675873_zpid/,06-23-2022_21:17:09,2062675873,1 day on Zillow
7146 Edgemoor Dr,Houston,TX,77074,"$225,000",3,2,"1,270",29.702309,-95.51108,House for sale,https://www.zillow.com/homedetails/7146-Edgemoor-Dr-Houston-TX-77074/28037082_zpid/,06-23-2022_21:17:09,28037082,1 day on Zillow
11711 Memorial Dr APT 605,Houston,TX,77024,"$173,000",1,1,980,29.753056,-95.528786,Condo for sale,https://www.zillow.com/homedetails/11711-Memorial-Dr-APT-605-Houston-TX-77024/28375927_zpid/,06-23-2022_21:17:09,28375927,1 day on Zillow
932 Dunleigh Meadows Ln,Houston,TX,77055,"$719,990",3,4,"2,668",29.785889,-95.44378,House for sale,https://www.zillow.com/homedetails/932-Dunleigh-Meadows-Ln-Houston-TX-77055/126252637_zpid/,06-23-2022_21:17:09,126252637,1 day on Zillow
10009 Granary Dr,Houston,TX,77080,"$449,990",3,3,"2,108",29.827518,-95.54042,House for sale,https://www.zillow.com/homedetails/10009-Granary-Dr-Houston-TX-77080/300136007_zpid/,06-23-2022_21:17:09,300136007,Open: Sun. 2-4pm
