address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
8641 S Constance Ave,Chicago,IL,60617,"$349,900",5,4,"1,773",41.737625,-87.57906,New,2069121685,https://www.zillow.com/homedetails/8641-S-Constance-Ave-Chicago-IL-60617/2069121685_zpid/,06-10-2022_19:19:22
8401 S Karlov Ave,Chicago,IL,60652,"$289,900",4,2,"1,482",41.74017,-87.72369,New,3973621,https://www.zillow.com/homedetails/8401-S-Karlov-Ave-Chicago-IL-60652/3973621_zpid/,06-10-2022_19:19:22
8606 S Keeler Ave,Chicago,IL,60652,"$315,999",3,2,"1,500",41.736332,-87.726685,New,3973934,https://www.zillow.com/homedetails/8606-S-Keeler-Ave-Chicago-IL-60652/3973934_zpid/,06-10-2022_19:19:22
1352 S Karlov Ave,Chicago,IL,60623,"$7,000",,,"3,049",41.86274,-87.727875,New,158718304,https://www.zillow.com/homedetails/1352-S-Karlov-Ave-Chicago-IL-60623/158718304_zpid/,06-10-2022_19:19:22
11334 S Harvard Ave,Chicago,IL,60628,"$164,000",3,1,--,41.687794,-87.631714,New,4153273,https://www.zillow.com/homedetails/11334-S-Harvard-Ave-Chicago-IL-60628/4153273_zpid/,06-10-2022_19:19:22
5963 N Northwest Hwy APT 201,Chicago,IL,60631,"$230,000",2,1,"1,100",41.98965,-87.793564,New,70457566,https://www.zillow.com/homedetails/5963-N-Northwest-Hwy-APT-201-Chicago-IL-60631/70457566_zpid/,06-10-2022_19:19:22
6705 N Washtenaw Ave,Chicago,IL,60645,"$649,950",6,4,--,,,New,2063308776,https://www.zillow.com/homedetails/6705-N-Washtenaw-Ave-Chicago-IL-60645/2063308776_zpid/,06-10-2022_19:19:22
4451 W Jackson Blvd,Chicago,IL,60624,"$5,000",,,"3,049",41.876675,-87.737335,New,2078142650,https://www.zillow.com/homedetails/4451-W-Jackson-Blvd-Chicago-IL-60624/2078142650_zpid/,06-10-2022_19:19:22
11640 S Yale Ave,Chicago,IL,60628,"$174,900",7,4,--,,,New,2116674090,https://www.zillow.com/homedetails/11640-S-Yale-Ave-Chicago-IL-60628/2116674090_zpid/,06-10-2022_19:19:22
11670 S Wallace St,Chicago,IL,60628,"$205,000",5,2,"2,120",41.682034,-87.63759,New,4153744,https://www.zillow.com/homedetails/11670-S-Wallace-St-Chicago-IL-60628/4153744_zpid/,06-10-2022_19:19:22
4044 N Kedvale Ave APT 2B,Chicago,IL,60641,"$349,900",3,2,"1,400",41.954983,-87.73135,New,70458436,https://www.zillow.com/homedetails/4044-N-Kedvale-Ave-APT-2B-Chicago-IL-60641/70458436_zpid/,06-10-2022_19:19:22
2243 N Lincoln Ave APT 1B,Chicago,IL,60614,"$235,000",1,1,--,41.923,-87.64477,New,70462214,https://www.zillow.com/homedetails/2243-N-Lincoln-Ave-APT-1B-Chicago-IL-60614/70462214_zpid/,06-10-2022_19:19:22
2842 N Mason Ave,Chicago,IL,60634,"$335,000",3,3,--,41.93241,-87.775116,New,3675969,https://www.zillow.com/homedetails/2842-N-Mason-Ave-Chicago-IL-60634/3675969_zpid/,06-10-2022_19:19:22
2655 N Paulina St,Chicago,IL,60614,"$1,500,000",6,5,"4,765",41.93029,-87.6704,New,65544860,https://www.zillow.com/homedetails/2655-N-Paulina-St-Chicago-IL-60614/65544860_zpid/,06-10-2022_19:19:22
4756 S Indiana Ave,Chicago,IL,60615,"$949,900",9,6,--,41.807655,-87.62164,New,2112381959,https://www.zillow.com/homedetails/4756-S-Indiana-Ave-Chicago-IL-60615/2112381959_zpid/,06-10-2022_19:19:22
1104 W Webster Ave APT 101,Chicago,IL,60614,"$495,000",3,3,--,41.92195,-87.65628,New,3735235,https://www.zillow.com/homedetails/1104-W-Webster-Ave-APT-101-Chicago-IL-60614/3735235_zpid/,06-10-2022_19:19:22
424 E North Water St UNIT D,Chicago,IL,60611,"$895,000",3,3,"2,200",41.889854,-87.616554,New,3868690,https://www.zillow.com/homedetails/424-E-North-Water-St-UNIT-D-Chicago-IL-60611/3868690_zpid/,06-10-2022_19:19:22
12223 S Loomis St,Chicago,IL,60643,"$49,900",2,2,--,41.6714,-87.65596,New,4159748,https://www.zillow.com/homedetails/12223-S-Loomis-St-Chicago-IL-60643/4159748_zpid/,06-10-2022_19:19:22
50 E 16th St UNIT 615,Chicago,IL,60616,"$389,500",2,2,"1,205",41.860275,-87.62923,New,113952397,https://www.zillow.com/homedetails/50-E-16th-St-UNIT-615-Chicago-IL-60616/113952397_zpid/,06-10-2022_19:19:22
6553 S Eberhart Ave,Chicago,IL,60637,"$470,000",4,4,"2,900",41.77513,-87.612755,New,3999309,https://www.zillow.com/homedetails/6553-S-Eberhart-Ave-Chicago-IL-60637/3999309_zpid/,06-10-2022_19:19:22
2430 W 47th Pl,Chicago,IL,60632,"$219,000",4,2,"4,166",41.807766,-87.68576,New,3929286,https://www.zillow.com/homedetails/2430-W-47th-Pl-Chicago-IL-60632/3929286_zpid/,06-10-2022_19:19:22
1529 S State St #9D,Chicago,IL,60605,"$225,000",1,1,--,41.861122,-87.626884,New,63704326,https://www.zillow.com/homedetails/1529-S-State-St-9D-Chicago-IL-60605/63704326_zpid/,06-10-2022_19:19:22
