address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
2108 Sansom St,Philadelphia,PA,19103,"$1,900,000",3,3,"2,903",39.95146,-75.17614,Townhouse for sale,https://www.zillow.com/homedetails/2108-Sansom-St-Philadelphia-PA-19103/165609684_zpid/,06-23-2022_21:18:45,165609684,5 days on Zillow
8903 Convent Ave,Philadelphia,PA,19136,"$350,000",4,-,"1,768",40.056885,-75.01888,Multi-family home for sale,https://www.zillow.com/homedetails/8903-Convent-Ave-Philadelphia-PA-19136/2062703915_zpid/,06-23-2022_21:18:45,2062703915,5 days on Zillow
249 N 2nd St APT 1R,Philadelphia,PA,19106,"$564,900",3,3,"1,449",39.955074,-75.14239,Apartment for sale,https://www.zillow.com/homedetails/249-N-2nd-St-APT-1R-Philadelphia-PA-19106/2085075888_zpid/,06-23-2022_21:18:45,2085075888,Open: Sat. 12-2pm
4000 Gypsy Ln UNIT 306,Philadelphia,PA,19129,"$214,900",2,2,"1,054",40.01527,-75.20119,Condo for sale,https://www.zillow.com/homedetails/4000-Gypsy-Ln-UNIT-306-Philadelphia-PA-19129/2107730576_zpid/,06-23-2022_21:18:45,2107730576,5 days on Zillow
2214 S Croskey St,Philadelphia,PA,19145,"$265,000",3,1,"1,120",39.924534,-75.18382,Townhouse for sale,https://www.zillow.com/homedetails/2214-S-Croskey-St-Philadelphia-PA-19145/10461440_zpid/,06-23-2022_21:18:45,10461440,3D Homes Icon3D Tour
1800 S Ringgold St,Philadelphia,PA,19145,"$139,000",,,800,39.93014,-75.18594,Lot / Land for sale,https://www.zillow.com/homedetails/1800-S-Ringgold-St-Philadelphia-PA-19145/10462336_zpid/,06-23-2022_21:18:45,10462336,6 days on Zillow
749 S 52nd St,Philadelphia,PA,19143,"$207,000",,-,"1,304",39.946938,-75.22615,Townhouse for sale,https://www.zillow.com/homedetails/749-S-52nd-St-Philadelphia-PA-19143/10477862_zpid/,06-23-2022_21:18:45,10477862,6 days on Zillow
5127 Malcolm St,Philadelphia,PA,19143,"$294,999",2,2,"1,000",39.947266,-75.22611,Townhouse for sale,https://www.zillow.com/homedetails/5127-Malcolm-St-Philadelphia-PA-19143/10478239_zpid/,06-23-2022_21:18:45,10478239,6 days on Zillow
5439 Pentridge St,Philadelphia,PA,19143,"$199,900",3,2,"1,104",39.943134,-75.228775,Townhouse for sale,https://www.zillow.com/homedetails/5439-Pentridge-St-Philadelphia-PA-19143/10482059_zpid/,06-23-2022_21:18:45,10482059,Open: Sat. 12-3pm
1225 Englewood St,Philadelphia,PA,19111,"$279,900",3,2,"1,188",40.053185,-75.07095,House for sale,https://www.zillow.com/homedetails/1225-Englewood-St-Philadelphia-PA-19111/10496138_zpid/,06-23-2022_21:18:45,10496138,6 days on Zillow
1716 Danforth St,Philadelphia,PA,19152,"$350,000",3,2,"1,554",40.07173,-75.05396,House for sale,https://www.zillow.com/homedetails/1716-Danforth-St-Philadelphia-PA-19152/10518178_zpid/,06-23-2022_21:18:45,10518178,6 days on Zillow
